.csv
Version,1.0
File produced by University of Exeter,  13-Apr-2016 

Site, London
Latitude, 51.479, Longitude, -0.449, Altitude,25

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


,,,,,,,,,,,,,,,,Missing Data Codes
Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2011,1,1,1,4,7,3.7,3.4,95,1025.1,240,4.5,0,0,-61.2,-23,0,0,0,0,0,0
2011,1,1,2,-999,7,3.9,3.4,93,1024.9,250,4.5,0,0,-57.2,-23,0,0,0,0,0,0
2011,1,1,3,4,7,4,3.5,92,1024.7,250,4.3,0,0,-50.2,-23,0,0,0,0,0,0
2011,1,1,4,4,7,4.2,3.6,91,1024.6,260,4.3,0,0,-41.7,-23,0,0,0,0,0,0
2011,1,1,5,4,7,4.3,3.6,90,1024.4,260,4.3,0,0,-32.5,-23,0,0,0,0,0,0
2011,1,1,6,4,7,4.5,3.7,89,1024.3,270,4.1,0,0,-23.2,-23,0,0,0,0,0,0
2011,1,1,7,4,7,4.6,3.8,88,1024.2,270,4.1,0,0,-14.1,-23,0,0,0,0,0,0
2011,1,1,8,4,7,4.8,3.9,87,1024.2,280,4.1,0,0,-5.7,-23,0,0,0,0,0,0
2011,1,1,9,4,7,4.9,4,87,1024.2,280,4.1,11,11,1.9,-23,0,0,0,0,0,0
2011,1,1,10,4,8,5.1,4.2,87,1024.3,280,5.1,25,25,8.1,-23,0,0,0,0,0,0
2011,1,1,11,4,8,5.3,4.4,87,1024.6,280,4.1,42,42,12.6,-23,0,0,0,0,0,0
2011,1,1,12,4,8,5.9,5,88,1024.6,300,5.1,52,52,15.1,-23,0,0,0,0,0,0
2011,1,1,13,23,8,6.7,5.8,88,1024.5,320,5.1,53,53,15.3,-23,0,0,0,0,0,0
2011,1,1,14,22,8,6.6,6.2,95,1024.1,320,4.1,45,45,13.2,-23,0,0,0,0,0,0
2011,1,1,15,22,8,7.1,6.5,92,1023.9,340,5.1,28,28,9,-23,0,0,0,0,0,0
2011,1,1,16,22,8,7,6.4,92,1024.1,350,4.1,16,16,3.1,-23,0,0,0,0,0,0
2011,1,1,17,82,8,6.4,5.9,93,1024.5,20,6,0,0,-4.2,-23,0,0,0,0,0,0
2011,1,1,18,61,8,5.7,5.2,93,1025.2,40,7,0,0,-12.6,-23,0,0,0,0,0,0
2011,1,1,19,23,7,5.5,4.7,89,1025.4,40,8,0,0,-21.5,-23,0,0,0,0,0,0
2011,1,1,20,23,7,5.2,4.3,87,1025.5,40,7,0,0,-30.8,-23,0,0,0,0,0,0
2011,1,1,21,-999,8,5,4,86,1026,40,7,0,0,-40.1,-23,0,0,0,0,0,0
2011,1,1,22,-999,8,4.7,3.7,86,1026.3,40,7,0,0,-48.7,-23,0,0,0,0,0,0
2011,1,1,23,81,8,4.4,3.5,87,1026.8,20,5.1,0,0,-56.1,-23,0,0,0,0,0,0
2011,1,1,24,23,8,4.1,3.3,88,1026.8,20,5.1,0,0,-60.7,-23,0,0,0,0,0,0
2011,1,2,1,-999,8,3.8,3.1,89,1026.9,360,4.1,0,0,-61.1,-22.9,0,0,0,0,0,0
2011,1,2,2,-999,8,3.5,2.7,88,1027,20,5.1,0,0,-57.2,-22.9,0,0,0,0,0,0
2011,1,2,3,-999,8,3.1,2.3,88,1027.2,30,4.1,0,0,-50.2,-22.9,0,0,0,0,0,0
2011,1,2,4,-999,8,3,2.1,86,1027.5,20,2.9,0,0,-41.7,-22.9,0,0,0,0,0,0
2011,1,2,5,-999,8,2.8,1.9,86,1027.5,10,2.9,0,0,-32.5,-22.9,0,0,0,0,0,0
2011,1,2,6,-999,8,2.6,1.7,86,1027.6,360,5.1,0,0,-23.2,-22.9,0,0,0,0,0,0
2011,1,2,7,-999,8,2.1,1.3,87,1027.6,30,5.1,0,0,-14.1,-22.9,0,0,0,0,0,0
2011,1,2,8,-999,7,2.4,1.5,86,1027.8,360,5.1,0,0,-5.7,-22.9,0,0,0,0,0,0
2011,1,2,9,-999,8,2.4,1.5,86,1028.2,350,4.1,11,11,1.9,-22.9,0,0,0,0,0,0
2011,1,2,10,-999,8,2.4,1.5,86,1028.7,350,5.1,25,25,8.1,-22.9,0,0,0,0,0,0
2011,1,2,11,-999,6,2.5,1.4,83,1029,360,6,122,85,12.7,-22.9,0,0,0,0,0,0
2011,1,2,12,-999,8,2.8,1.6,81,1029.3,360,5.1,52,52,15.2,-22.9,0,0,0,0,0,0
2011,1,2,13,-999,8,3.5,2,77,1029.1,350,4.1,53,53,15.4,-22.9,0,0,0,0,0,0
2011,1,2,14,-999,8,3.6,2,76,1028.8,10,4.1,45,45,13.3,-22.9,0,0,0,0,0,0
2011,1,2,15,-999,8,3.9,2.1,73,1028.6,360,4.1,29,29,9.2,-22.9,0,0,0,0,0,0
2011,1,2,16,-999,7,3.9,2.1,73,1028.6,350,2.9,17,17,3.2,-22.9,0,0,0,0,0,0
2011,1,2,17,-999,8,3.6,2,76,1028.8,350,2.9,0,0,-4.1,-22.9,0,0,0,0,0,0
2011,1,2,18,-999,8,3.4,1.9,77,1028.9,340,4.1,0,0,-12.4,-22.9,0,0,0,0,0,0
2011,1,2,19,-999,8,3,1.7,80,1028.9,320,2.9,0,0,-21.4,-22.9,0,0,0,0,0,0
2011,1,2,20,4,8,2.9,1.5,78,1028.8,330,2.9,0,0,-30.7,-22.9,0,0,0,0,0,0
2011,1,2,21,-999,8,2.9,1.4,77,1028.8,320,2.9,0,0,-39.9,-22.9,0,0,0,0,0,0
2011,1,2,22,-999,8,2.6,1.1,76,1028.8,320,1.9,0,0,-48.6,-22.9,0,0,0,0,0,0
2011,1,2,23,-999,8,2.5,1.1,78,1028.7,290,4.1,0,0,-55.9,-22.9,0,0,0,0,0,0
2011,1,2,24,-999,8,2.3,0.9,78,1028.7,280,4.1,0,0,-60.6,-22.9,0,0,0,0,0,0
2011,1,3,1,-999,8,2.2,0.8,78,1028.4,290,4.1,0,0,-61,-22.8,0,0,0,0,0,0
2011,1,3,2,-999,8,2,0.6,77,1028.1,290,2.9,0,0,-57.1,-22.8,0,0,0,0,0,0
2011,1,3,3,-999,8,1.7,0.5,80,1027.8,300,2.9,0,0,-50.2,-22.8,0,0,0,0,0,0
2011,1,3,4,-999,8,1.5,0.3,80,1027.7,330,1,0,0,-41.7,-22.8,0,0,0,0,0,0
2011,1,3,5,-999,8,1.4,0.3,82,1027.3,20,2.9,0,0,-32.5,-22.8,0,0,0,0,0,0
2011,1,3,6,-999,8,1.5,0.3,80,1027,260,4.1,0,0,-23.2,-22.8,0,0,0,0,0,0
2011,1,3,7,-999,8,0.7,-0.4,81,1026.4,270,4.1,0,0,-14.1,-22.8,0,0,0,0,0,0
2011,1,3,8,-999,7,0.5,-0.6,81,1026.2,280,2.9,0,0,-5.6,-22.8,0,0,0,0,0,0
2011,1,3,9,4,3,-0.1,-1,85,1026.2,310,1.9,11,11,1.9,-22.8,0,0,0,0,0,0
2011,1,3,10,4,6,-0.3,-1.1,87,1026.1,310,1.9,71,50,8.2,-22.8,0,0,0,0,0,0
2011,1,3,11,4,7,0.5,-0.4,84,1026,340,2.9,89,75,12.7,-22.8,0,0,0,0,0,0
2011,1,3,12,4,7,1.6,0.5,82,1025.8,40,2.9,110,92,15.3,-22.8,0,0,0,0,0,0
2011,1,3,13,-999,8,2.4,1.1,79,1025.2,180,2.9,53,53,15.5,-22.8,0,0,0,0,0,0
2011,1,3,14,-999,8,2.5,0.9,75,1024.5,180,2.9,45,45,13.5,-22.8,0,0,0,0,0,0
2011,1,3,15,-999,8,2.3,0.9,78,1023.9,160,2.9,29,29,9.3,-22.8,0,0,0,0,0,0
2011,1,3,16,41,7,2.4,0.9,76,1023.4,170,5.1,18,18,3.4,-22.8,0,0,0,0,0,0
2011,1,3,17,21,7,2.4,0.8,75,1022.8,140,4.1,0,0,-4,-22.8,0,0,0,0,0,0
2011,1,3,18,-999,7,2.6,0.9,74,1022.5,140,5.1,0,0,-12.3,-22.8,0,0,0,0,0,0
2011,1,3,19,-999,8,2.6,1,75,1022.1,160,4.1,0,0,-21.3,-22.8,0,0,0,0,0,0
2011,1,3,20,-999,8,2.5,1.1,78,1021.6,160,5.1,0,0,-30.5,-22.8,0,0,0,0,0,0
2011,1,3,21,-999,8,2.4,1.2,81,1021.2,150,5.1,0,0,-39.8,-22.8,0,0,0,0,0,0
2011,1,3,22,-999,7,2.3,1.2,83,1020.7,140,4.1,0,0,-48.5,-22.8,0,0,0,0,0,0
